user_id,pr_id,total_scores
U110,P124,5.0
U110,P13,5.0
U110,P135,3.0
U110,P161,3.5
U110,P166,3.0
U110,P185,30.0
U110,P190,3.5
U110,P2,30.0
U110,P206,5.0
U110,P207,30.0
U110,P219,5.0
U110,P221,30.0
U110,P232,5.0
U110,P272,3.0
U110,P278,0.5
U110,P293,3.0
U110,P30,3.0
U110,P303,30.0
U110,P321,33.0
U110,P379,3.0
U110,P392,0.5
U110,P396,30.0
U110,P41,30.0
U110,P427,5.0
U110,P443,5.0
U110,P451,1.0
U110,P471,5.0
U110,P49,0.5
U110,P511,8.0
U110,P567,5.0
U110,P572,3.0
U110,P575,30.0
U110,P61,0.5
U110,P620,3.0
U110,P623,3.0
U110,P636,3.0
U110,P641,5.0
U110,P92,3.0
U111,P136,0.5
U111,P140,3.0
U111,P141,38.0
U111,P167,33.0
U111,P170,3.0
U111,P176,30.0
U111,P180,3.0
U111,P185,5.0
U111,P209,3.0
U111,P213,30.0
U111,P216,5.0
U111,P231,5.0
U111,P238,11.0
U111,P241,3.0
U111,P243,30.0
U111,P251,30.0
U111,P259,41.0
U111,P280,5.0
U111,P303,3.0
U111,P312,3.0
U111,P315,30.0
U111,P321,30.0
U111,P352,30.0
U111,P354,5.5
U111,P378,0.5
U111,P387,5.0
U111,P396,30.0
U111,P417,0.5
U111,P432,43.0
U111,P443,60.0
U111,P458,30.0
U111,P49,3.0
U111,P511,3.0
U111,P526,3.0
U111,P540,5.0
U111,P559,0.5
U111,P576,3.0
U111,P578,30.0
U111,P61,33.0
U111,P636,3.0
U111,P645,0.5
U111,P648,30.0
U111,P68,33.5
U111,P98,3.0
U112,P142,0.5
U112,P149,0.5
U112,P161,0.5
U112,P162,5.0
U112,P166,1.0
U112,P167,5.0
U112,P174,3.0
U112,P185,3.0
U112,P206,30.5
U112,P207,0.5
U112,P208,3.0
U112,P232,3.0
U112,P238,3.0
U112,P240,5.0
U112,P25,30.0
U112,P255,3.0
U112,P261,1.5
U112,P356,30.0
U112,P362,0.5
U112,P463,30.0
U112,P548,30.0
U112,P55,5.0
U112,P583,3.0
U112,P615,30.5
U112,P73,3.0
U112,P92,0.5
U115,P103,3.0
U115,P135,5.0
U115,P149,5.0
U115,P166,30.0
U115,P170,0.5
U115,P173,3.0
U115,P185,0.5
U115,P207,0.5
U115,P214,5.0
U115,P240,3.0
U115,P255,3.0
U115,P261,3.0
U115,P310,5.0
U115,P343,3.0
U115,P370,0.5
U115,P378,5.0
U115,P379,30.0
U115,P396,0.5
U115,P435,3.0
U115,P457,0.5
U115,P471,3.0
U115,P480,3.0
U115,P49,30.0
U115,P491,3.0
U115,P511,0.5
U115,P530,1.0
U115,P533,30.0
U115,P589,3.0
U115,P61,3.5
U115,P68,30.5
U115,P79,0.5
U115,P98,5.0
U117,P135,3.0
U117,P140,0.5
U117,P149,0.5
U117,P180,30.0
U117,P229,30.0
U117,P244,3.0
U117,P247,3.0
U117,P255,5.0
U117,P321,5.0
U117,P383,3.0
U117,P396,5.0
U117,P398,30.0
U117,P402,3.0
U117,P41,3.0
U117,P447,3.0
U117,P450,0.5
U117,P567,1.5
U117,P623,3.0
U117,P632,0.5
U117,P645,6.0
U117,P77,3.0
U117,P98,5.0
U118,P103,33.0
U118,P117,0.5
U118,P136,3.0
U118,P161,3.0
U118,P167,3.0
U118,P170,33.0
U118,P174,0.5
U118,P185,0.5
U118,P244,30.0
U118,P303,3.0
U118,P378,30.0
U118,P471,3.0
U118,P550,3.0
U118,P567,3.0
U118,P583,5.0
U118,P61,3.0
U118,P68,33.0
U119,P124,8.0
U119,P141,3.0
U119,P17,35.0
U119,P176,5.0
U119,P185,0.5
U119,P190,6.0
U119,P217,33.0
U119,P238,5.0
U119,P244,5.0
U119,P280,3.0
U119,P321,3.0
U119,P354,5.0
U119,P362,3.0
U119,P378,30.0
U119,P479,3.0
U119,P517,30.0
U119,P546,30.0
U119,P55,5.0
U119,P554,30.0
U119,P556,5.0
U119,P575,0.5
U119,P628,3.0
U119,P632,30.0
U119,P79,3.0
U12,P103,5.0
U12,P107,5.0
U12,P122,5.0
U12,P124,0.5
U12,P13,5.0
U12,P140,0.5
U12,P149,0.5
U12,P173,3.0
U12,P2,30.0
U12,P206,3.0
U12,P207,4.0
U12,P208,0.5
U12,P232,0.5
U12,P237,5.0
U12,P240,0.5
U12,P241,0.5
U12,P243,3.0
U12,P255,0.5
U12,P261,6.0
U12,P278,35.0
U12,P293,30.0
U12,P303,3.0
U12,P339,0.5
U12,P41,0.5
U12,P443,3.0
U12,P451,5.5
U12,P471,0.5
U12,P49,0.5
U12,P503,3.0
U12,P57,5.0
U12,P572,0.5
U12,P575,0.5
U12,P604,3.0
U12,P609,0.5
U12,P623,35.0
U12,P632,10.0
U12,P68,5.0
U12,P85,30.0
U12,P92,0.5
U120,P141,30.0
U120,P173,0.5
U120,P180,0.5
U120,P2,3.5
U120,P231,0.5
U120,P241,30.0
U120,P243,3.0
U120,P244,3.5
U120,P251,0.5
U120,P259,0.5
U120,P27,30.0
U120,P303,30.0
U120,P318,0.5
U120,P333,60.0
U120,P354,30.0
U120,P387,5.0
U120,P432,5.0
U120,P443,3.0
U120,P471,0.5
U120,P49,5.5
U120,P511,0.5
U120,P550,5.5
U120,P557,30.0
U120,P575,30.0
U120,P98,0.5
U122,P124,3.5
U122,P140,9.5
U122,P142,30.0
U122,P161,3.0
U122,P164,35.0
U122,P174,30.5
U122,P182,30.0
U122,P193,0.5
U122,P206,3.0
U122,P208,30.0
U122,P219,3.0
U122,P238,5.0
U122,P240,30.0
U122,P244,3.0
U122,P247,36.0
U122,P261,0.5
U122,P286,5.5
U122,P310,30.0
U122,P320,3.0
U122,P321,10.5
U122,P351,0.5
U122,P378,3.0
U122,P379,0.5
U122,P405,0.5
U122,P41,0.5
U122,P428,30.0
U122,P442,0.5
U122,P447,35.0
U122,P468,30.0
U122,P5,0.5
U122,P506,30.0
U122,P523,0.5
U122,P533,3.0
U122,P567,0.5
U122,P572,0.5
U122,P583,3.0
U122,P615,0.5
U122,P639,60.0
U122,P645,8.0
U122,P92,10.0
U126,P136,0.5
U126,P141,5.0
U126,P163,0.5
U126,P17,33.0
U126,P173,60.0
U126,P198,0.5
U126,P217,1.0
U126,P234,30.0
U126,P238,5.0
U126,P278,0.5
U126,P303,3.0
U126,P354,3.5
U126,P362,30.0
U126,P387,5.5
U126,P432,35.0
U126,P443,0.5
U126,P484,30.0
U126,P511,33.5
U126,P550,6.0
U126,P575,35.0
U126,P61,3.5
U126,P78,0.5
U126,P94,33.0
U126,P98,5.0
U127,P124,0.5
U127,P161,3.0
U127,P193,0.5
U127,P2,5.0
U127,P206,0.5
U127,P232,3.0
U127,P255,3.0
U127,P261,3.0
U127,P286,30.0
U127,P315,3.0
U127,P339,0.5
U127,P427,3.0
U127,P432,30.0
U127,P443,5.0
U127,P530,0.5
U127,P550,5.0
U127,P615,0.5
U127,P92,5.0
U128,P103,0.5
U128,P104,5.0
U128,P136,30.5
U128,P141,30.0
U128,P170,30.0
U128,P185,5.0
U128,P198,3.0
U128,P28,30.0
U128,P280,30.0
U128,P297,30.5
U128,P34,0.5
U128,P362,30.5
U128,P378,5.0
U128,P415,38.0
U128,P417,30.0
U128,P422,5.0
U128,P470,0.5
U128,P512,30.0
U128,P52,3.0
U128,P606,0.5
U128,P627,30.0
U128,P648,3.0
U128,P68,0.5
U128,P79,36.0
U128,P81,10.0
U129,P141,0.5
U129,P167,0.5
U129,P2,3.0
U129,P217,0.5
U129,P241,30.0
U129,P278,30.0
U129,P282,3.0
U129,P292,0.5
U129,P303,3.0
U129,P353,3.0
U129,P372,5.5
U129,P378,0.5
U129,P387,30.0
U129,P411,30.0
U129,P44,0.5
U129,P443,0.5
U129,P486,30.0
U129,P52,30.0
U129,P550,30.0
U129,P600,3.0
U129,P607,0.5
U129,P61,30.0
U129,P621,30.0
U129,P69,5.0
U129,P81,5.0
U13,P110,0.5
U13,P122,0.5
U13,P13,3.0
U13,P149,30.0
U13,P161,35.0
U13,P162,0.5
U13,P166,10.0
U13,P174,30.5
U13,P190,5.0
U13,P2,3.0
U13,P206,0.5
U13,P207,0.5
U13,P208,0.5
U13,P232,30.5
U13,P245,3.0
U13,P247,3.0
U13,P315,30.0
U13,P372,30.0
U13,P379,5.0
U13,P415,0.5
U13,P417,3.0
U13,P42,0.5
U13,P423,3.0
U13,P44,3.0
U13,P440,3.0
U13,P443,3.0
U13,P447,38.5
U13,P477,3.0
U13,P494,5.0
U13,P495,5.0
U13,P497,5.0
U13,P503,3.0
U13,P511,30.0
U13,P52,5.0
U13,P533,5.0
U13,P543,0.5
U13,P55,5.0
U13,P564,0.5
U13,P572,5.0
U13,P583,30.0
U13,P584,0.5
U13,P588,5.0
U13,P636,0.5
U13,P648,3.0
U13,P69,3.0
U130,P10,5.0
U130,P107,5.0
U130,P136,0.5
U130,P167,30.0
U130,P17,5.0
U130,P176,0.5
U130,P180,3.0
U130,P185,30.0
U130,P190,10.0
U130,P198,30.5
U130,P204,5.0
U130,P217,0.5
U130,P234,0.5
U130,P238,30.0
U130,P243,5.0
U130,P249,5.0
U130,P278,0.5
U130,P28,5.0
U130,P303,3.0
U130,P320,30.0
U130,P321,0.5
U130,P33,5.0
U130,P344,0.5
U130,P353,35.0
U130,P372,0.5
U130,P385,3.0
U130,P387,30.0
U130,P432,0.5
U130,P474,3.0
U130,P49,3.5
U130,P519,3.0
U130,P52,30.0
U130,P550,30.0
U130,P567,0.5
U130,P583,30.0
U130,P61,3.0
U130,P638,30.0
U130,P77,0.5
U130,P79,0.5
U130,P81,3.0
U130,P98,5.0
U131,P1,5.0
U131,P107,0.5
U131,P129,3.0
U131,P143,0.5
U131,P172,3.0
U131,P176,3.0
U131,P2,0.5
U131,P217,0.5
U131,P241,3.0
U131,P243,30.0
U131,P259,60.5
U131,P278,5.0
U131,P297,0.5
U131,P315,33.0
U131,P337,3.0
U131,P34,0.5
U131,P354,3.0
U131,P371,3.0
U131,P372,31.0
U131,P387,60.0
U131,P417,0.5
U131,P443,0.5
U131,P451,30.0
U131,P471,6.0
U131,P48,30.0
U131,P503,0.5
U131,P507,30.0
U131,P511,5.0
U131,P530,30.0
U131,P540,3.5
U131,P550,6.5
U131,P575,6.0
U131,P577,30.0
U131,P621,35.0
U131,P648,3.0
U131,P80,3.0
U132,P122,30.0
U132,P139,30.0
U132,P141,3.0
U132,P149,63.0
U132,P166,0.5
U132,P167,0.5
U132,P170,3.0
U132,P173,30.0
U132,P180,5.0
U132,P2,3.0
U132,P206,3.0
U132,P207,30.0
U132,P240,0.5
U132,P244,3.0
U132,P259,0.5
U132,P283,3.0
U132,P311,5.0
U132,P315,0.5
U132,P330,30.0
U132,P342,3.0
U132,P432,3.0
U132,P443,3.0
U132,P447,0.5
U132,P451,3.0
U132,P463,0.5
U132,P471,30.0
U132,P474,5.0
U132,P503,35.5
U132,P521,30.0
U132,P55,5.0
U132,P550,30.0
U132,P575,30.0
U132,P583,5.0
U132,P65,3.0
U132,P79,30.0
U132,P98,3.0
U133,P136,3.0
U133,P173,30.5
U133,P176,1.0
U133,P180,30.0
U133,P185,30.0
U133,P190,3.0
U133,P191,0.5
U133,P244,5.0
U133,P259,3.0
U133,P28,33.0
U133,P296,0.5
U133,P303,30.0
U133,P313,5.0
U133,P34,6.5
U133,P35,3.0
U133,P353,0.5
U133,P354,5.0
U133,P372,0.5
U133,P385,5.0
U133,P387,3.0
U133,P396,3.0
U133,P415,30.0
U133,P417,13.0
U133,P42,11.0
U133,P422,35.0
U133,P439,33.0
U133,P443,5.0
U133,P47,5.0
U133,P479,5.0
U133,P483,3.5
U133,P49,3.0
U133,P52,30.0
U133,P540,9.0
U133,P550,5.5
U133,P595,3.0
U133,P599,3.0
U133,P619,3.0
U133,P621,30.0
U133,P627,0.5
U133,P648,3.0
U133,P69,30.5
U133,P7,5.0
U133,P80,0.5
U134,P136,4.0
U134,P17,3.5
U134,P170,6.0
U134,P190,0.5
U134,P198,0.5
U134,P238,0.5
U134,P28,5.0
U134,P303,5.0
U134,P318,30.0
U134,P325,5.0
U134,P338,3.0
U134,P34,0.5
U134,P372,5.0
U134,P376,0.5
U134,P396,8.0
U134,P4,0.5
U134,P44,0.5
U134,P443,5.0
U134,P458,0.5
U134,P470,5.0
U134,P477,30.0
U134,P479,3.5
U134,P511,30.0
U134,P52,3.5
U134,P540,5.0
U134,P584,0.5
U134,P615,0.5
U134,P627,0.5
U134,P648,35.0
U134,P68,0.5
U134,P69,3.0
U134,P79,0.5
U134,P92,0.5
U135,P103,3.0
U135,P13,8.0
U135,P136,3.5
U135,P141,30.0
U135,P176,3.5
U135,P190,3.5
U135,P198,6.0
U135,P210,0.5
U135,P228,0.5
U135,P244,3.0
U135,P247,0.5
U135,P251,0.5
U135,P274,3.0
U135,P278,0.5
U135,P28,6.0
U135,P292,3.0
U135,P297,8.5
U135,P335,3.0
U135,P353,60.0
U135,P362,5.0
U135,P375,30.0
U135,P378,3.0
U135,P400,30.0
U135,P415,5.5
U135,P417,30.5
U135,P425,30.0
U135,P447,5.0
U135,P471,3.0
U135,P492,0.5
U135,P511,0.5
U135,P52,0.5
U135,P540,0.5
U135,P556,30.0
U135,P576,3.0
U135,P599,5.0
U135,P609,0.5
U135,P61,0.5
U135,P621,0.5
U135,P632,5.0
U135,P636,3.0
U135,P639,3.5
U135,P648,0.5
U135,P69,3.5
U135,P72,5.0
U135,P76,0.5
U135,P81,30.0
U137,P107,0.5
U137,P122,30.0
U137,P124,8.0
U137,P140,33.0
U137,P161,3.0
U137,P173,3.0
U137,P206,0.5
U137,P208,3.0
U137,P232,10.0
U137,P258,5.0
U137,P259,3.0
U137,P278,3.0
U137,P28,3.0
U137,P286,5.0
U137,P3,3.0
U137,P303,5.0
U137,P306,3.0
U137,P321,0.5
U137,P34,5.0
U137,P353,3.0
U137,P354,0.5
U137,P379,30.0
U137,P387,3.0
U137,P39,5.0
U137,P395,3.0
U137,P412,30.0
U137,P417,5.0
U137,P422,30.0
U137,P443,8.5
U137,P447,3.0
U137,P451,5.0
U137,P479,30.0
U137,P480,0.5
U137,P503,30.0
U137,P521,0.5
U137,P530,0.5
U137,P567,8.5
U137,P572,60.0
U137,P61,0.5
U137,P612,3.0
U137,P623,38.0
U137,P632,30.0
U137,P641,3.0
U137,P645,3.0
U137,P648,8.5
U137,P73,3.0
U137,P92,30.0
U138,P107,5.0
U138,P141,0.5
U138,P169,0.5
U138,P170,4.0
U138,P173,8.0
U138,P176,60.0
U138,P190,5.5
U138,P193,0.5
U138,P238,5.0
U138,P244,0.5
U138,P28,3.5
U138,P34,3.0
U138,P353,0.5
U138,P354,0.5
U138,P372,8.5
U138,P382,0.5
U138,P415,0.5
U138,P49,3.0
U138,P509,30.0
U138,P540,5.5
U138,P567,5.0
U138,P578,30.0
U138,P632,0.5
U138,P644,0.5
U138,P648,6.0
U138,P69,5.0
U139,P107,30.0
U139,P140,5.0
U139,P185,0.5
U139,P198,30.0
U139,P2,3.0
U139,P217,0.5
U139,P240,3.0
U139,P244,0.5
U139,P278,3.0
U139,P303,3.0
U139,P339,3.0
U139,P354,5.0
U139,P379,5.0
U139,P387,3.0
U139,P396,3.5
U139,P399,0.5
U139,P432,3.5
U139,P443,0.5
U139,P49,0.5
U139,P499,30.0
U139,P511,30.0
U139,P550,30.0
U139,P576,30.0
U139,P645,33.0
U139,P80,30.0
U139,P98,0.5
U140,P122,5.5
U140,P13,30.0
U140,P149,8.5
U140,P161,30.5
U140,P166,30.0
U140,P167,30.0
U140,P206,30.0
U140,P207,33.0
U140,P208,3.5
U140,P212,3.0
U140,P224,3.0
U140,P229,3.0
U140,P232,5.0
U140,P240,30.0
U140,P255,1.0
U140,P261,5.0
U140,P283,30.0
U140,P286,5.0
U140,P321,5.0
U140,P339,5.0
U140,P378,3.0
U140,P379,30.5
U140,P396,3.0
U140,P434,3.0
U140,P447,0.5
U140,P451,8.0
U140,P462,3.0
U140,P505,0.5
U140,P530,9.0
U140,P567,3.0
U140,P576,30.0
U140,P615,8.0
U140,P623,3.0
U140,P645,0.5
U140,P92,5.5
U141,P141,30.0
U141,P149,30.5
U141,P167,5.0
U141,P17,30.5
U141,P170,33.5
U141,P180,30.0
U141,P185,0.5
U141,P190,5.5
U141,P198,5.0
U141,P207,0.5
U141,P242,3.0
U141,P259,30.5
U141,P303,0.5
U141,P34,3.0
U141,P354,0.5
U141,P362,5.5
U141,P396,0.5
U141,P422,3.5
U141,P451,0.5
U141,P482,30.0
U141,P575,1.0
U141,P589,3.0
U141,P61,3.0
U141,P81,6.5
U141,P98,0.5
U142,P166,30.0
U142,P170,3.0
U142,P207,5.0
U142,P217,3.0
U142,P241,3.0
U142,P243,3.0
U142,P251,3.0
U142,P259,3.5
U142,P261,5.0
U142,P278,3.0
U142,P295,3.0
U142,P303,5.0
U142,P315,6.0
U142,P323,30.0
U142,P339,0.5
U142,P354,0.5
U142,P378,0.5
U142,P380,30.0
U142,P417,5.0
U142,P420,0.5
U142,P471,8.0
U142,P483,30.0
U142,P499,5.0
U142,P511,0.5
U142,P550,0.5
U142,P607,5.0
U142,P625,3.0
U142,P68,3.5
U144,P103,0.5
U144,P141,3.0
U144,P144,0.5
U144,P149,0.5
U144,P167,3.0
U144,P174,0.5
U144,P180,30.0
U144,P185,0.5
U144,P198,3.5
U144,P2,3.0
U144,P208,3.0
U144,P217,5.0
U144,P232,1.0
U144,P25,0.5
U144,P28,0.5
U144,P292,3.0
U144,P321,1.0
U144,P396,3.0
U144,P405,5.0
U144,P43,30.0
U144,P443,3.0
U144,P447,33.5
U144,P49,5.0
U144,P490,30.0
U144,P503,30.0
U144,P52,3.5
U144,P530,3.5
U144,P543,3.0
U144,P557,0.5
U144,P56,30.0
U144,P575,3.0
U144,P589,0.5
U144,P61,5.0
U144,P615,3.0
U144,P619,3.0
U144,P623,0.5
U144,P639,3.0
U144,P68,0.5
U144,P69,0.5
U144,P79,0.5
U144,P92,5.0
U147,P1,3.0
U147,P103,5.0
U147,P124,30.0
U147,P140,3.0
U147,P162,0.5
U147,P164,0.5
U147,P166,30.0
U147,P174,0.5
U147,P190,0.5
U147,P198,3.5
U147,P207,0.5
U147,P247,0.5
U147,P286,0.5
U147,P3,30.0
U147,P339,0.5
U147,P35,0.5
U147,P353,70.0
U147,P362,3.0
U147,P378,3.0
U147,P379,30.0
U147,P382,0.5
U147,P41,35.0
U147,P417,0.5
U147,P422,3.0
U147,P477,30.0
U147,P503,30.0
U147,P530,30.0
U147,P543,0.5
U147,P567,30.0
U147,P572,0.5
U147,P576,5.0
U147,P583,1.0
U147,P589,3.0
U147,P621,30.0
U147,P623,0.5
U147,P639,3.0
U147,P642,0.5
U147,P645,30.0
U147,P648,33.0
U148,P124,30.0
U148,P134,5.0
U148,P140,5.0
U148,P161,3.0
U148,P174,5.0
U148,P206,0.5
U148,P207,30.0
U148,P232,5.0
U148,P247,5.0
U148,P261,30.0
U148,P321,1.0
U148,P339,3.0
U148,P351,5.0
U148,P367,3.0
U148,P37,5.0
U148,P379,3.0
U148,P391,5.0
U148,P403,3.0
U148,P428,30.0
U148,P572,5.0
U148,P576,0.5
U148,P623,30.0
U148,P632,3.0
U148,P645,3.0
U148,P92,31.0
U15,P107,30.5
U15,P122,0.5
U15,P166,0.5
U15,P176,3.0
U15,P297,3.0
U15,P303,3.5
U15,P34,3.0
U15,P349,3.0
U15,P372,5.0
U15,P387,5.0
U15,P417,30.0
U15,P42,30.0
U15,P422,30.0
U15,P439,5.0
U15,P446,30.0
U15,P512,5.0
U15,P517,30.0
U15,P52,3.0
U15,P540,5.0
U15,P599,0.5
U15,P61,0.5
U15,P615,5.0
U15,P619,5.0
U15,P627,3.0
U15,P69,3.0
U15,P92,3.0
U15,P96,0.5
U150,P107,30.0
U150,P142,0.5
U150,P161,0.5
U150,P166,5.0
U150,P170,30.0
U150,P174,3.5
U150,P190,5.0
U150,P28,30.0
U150,P280,3.0
U150,P345,3.0
U150,P354,0.5
U150,P362,30.0
U150,P372,31.0
U150,P387,30.0
U150,P396,1.0
U150,P417,0.5
U150,P435,5.0
U150,P471,30.0
U150,P479,60.5
U150,P487,0.5
U150,P52,36.0
U150,P540,5.5
U150,P576,0.5
U150,P621,30.0
U150,P628,3.0
U150,P69,3.0
U150,P92,30.0
U150,P98,5.0
U151,P124,5.0
U151,P149,6.0
U151,P152,3.0
U151,P166,3.5
U151,P167,30.0
U151,P170,3.0
U151,P206,8.5
U151,P207,3.0
U151,P232,35.5
U151,P240,5.0
U151,P255,0.5
U151,P261,0.5
U151,P281,3.5
U151,P291,30.0
U151,P305,0.5
U151,P321,0.5
U151,P362,5.0
U151,P379,6.5
U151,P435,3.0
U151,P451,10.5
U151,P477,0.5
U151,P55,5.0
U151,P576,5.0
U151,P591,3.0
U151,P592,0.5
U151,P615,3.0
U151,P620,3.0
U151,P623,33.0
U151,P632,0.5
U151,P645,0.5
U151,P649,5.0
U151,P9,5.0
U151,P92,1.0
U152,P103,30.0
U152,P107,3.0
U152,P115,30.0
U152,P136,3.0
U152,P141,35.0
U152,P167,38.5
U152,P180,5.0
U152,P198,0.5
U152,P207,3.0
U152,P208,3.0
U152,P217,0.5
U152,P240,3.5
U152,P259,0.5
U152,P265,3.0
U152,P278,3.0
U152,P303,3.0
U152,P318,30.0
U152,P339,5.0
U152,P362,35.0
U152,P392,3.0
U152,P396,30.0
U152,P416,0.5
U152,P429,30.0
U152,P432,30.0
U152,P471,3.0
U152,P49,30.0
U152,P511,30.0
U152,P53,0.5
U152,P530,3.0
U152,P531,3.0
U153,P13,30.0
U153,P140,3.0
U153,P149,30.5
U153,P158,5.0
U153,P161,11.0
U153,P174,0.5
U153,P198,30.0
U153,P237,5.0
U153,P286,40.0
U153,P325,3.0
U153,P336,3.0
U153,P340,30.0
U153,P353,3.0
U153,P379,30.0
U153,P417,3.0
U153,P447,0.5
U153,P451,0.5
U153,P503,0.5
U153,P543,30.0
U153,P55,33.0
U153,P567,3.0
U153,P572,3.5
U153,P576,3.5
U153,P583,0.5
U153,P613,5.0
U153,P615,0.5
U153,P621,0.5
U153,P632,3.0
U153,P639,5.0
U153,P68,0.5
U153,P79,3.0
U153,P81,0.5
U154,P122,0.5
U154,P124,5.0
U154,P140,30.0
U154,P161,36.5
U154,P166,3.0
U154,P17,8.5
U154,P196,5.0
U154,P198,30.0
U154,P207,38.0
U154,P208,30.0
U154,P224,5.0
U154,P238,0.5
U154,P244,3.0
U154,P247,0.5
U154,P255,6.0
U154,P26,5.0
U154,P261,3.0
U154,P286,3.0
U154,P293,5.5
U154,P367,3.0
U154,P370,30.0
U154,P378,0.5
U154,P379,0.5
U154,P394,0.5
U154,P41,30.0
U154,P447,3.0
U154,P451,30.0
U154,P488,30.0
U154,P49,33.5
U154,P521,0.5
U154,P530,4.0
U154,P55,30.0
U154,P567,30.0
U154,P583,0.5
U154,P615,5.0
U154,P623,3.0
U154,P632,5.0
U154,P638,0.5
U154,P639,0.5
U154,P645,0.5
U154,P68,3.0
U154,P77,30.0
U155,P110,3.0
U155,P122,30.0
U155,P140,30.0
U155,P142,5.0
U155,P160,0.5
U155,P161,30.0
U155,P174,30.5
U155,P176,3.0
U155,P206,1.0
U155,P207,0.5
U155,P208,30.0
U155,P226,0.5
U155,P229,8.0
U155,P232,0.5
U155,P240,0.5
U155,P247,10.0
U155,P259,0.5
U155,P261,33.0
U155,P278,3.0
U155,P297,3.0
U155,P3,35.0
U155,P311,30.0
U155,P321,30.5
U155,P339,5.5
U155,P354,0.5
U155,P379,3.0
U155,P405,5.0
U155,P41,36.0
