user_id,pr_id,interaction_type
U702,P137,view
U341,P28,cart
U71,P491,purchase
U487,P363,purchase
U789,P32,purchase
U512,P68,view
U175,P180,cart
U873,P319,view
U835,P495,view
U571,P179,purchase
U453,P435,view
U346,P290,wishlist
U766,P200,view
U181,P435,wishlist
U137,P427,cart
U239,P433,view
U722,P377,view
U633,P54,purchase
U474,P197,wishlist
U748,P342,wishlist
U314,P195,wishlist
U448,P454,view
U219,P295,wishlist
U296,P311,purchase
U876,P445,purchase
U135,P48,purchase
U795,P21,view
U106,P506,purchase
U541,P261,purchase
U515,P46,view
U874,P445,purchase
U173,P179,view
U650,P435,view
U249,P341,cart
U815,P417,view
U868,P507,cart
U99,P103,view
U336,P460,cart
U391,P141,cart
U592,P412,wishlist
U129,P37,purchase
U688,P220,wishlist
U820,P257,cart
U676,P460,view
U27,P366,view
U821,P57,wishlist
U449,P36,wishlist
U6,P209,wishlist
U186,P517,purchase
U362,P435,cart
U359,P54,view
U71,P406,cart
U444,P6,cart
U439,P75,view
U755,P401,wishlist
U149,P319,wishlist
U744,P306,purchase
U239,P389,view
U16,P276,purchase
U440,P326,wishlist
U191,P353,purchase
U770,P409,wishlist
U563,P310,purchase
U642,P433,view
U462,P8,wishlist
U149,P103,purchase
U834,P179,purchase
U748,P303,wishlist
U91,P315,wishlist
U662,P310,purchase
U186,P120,view
U347,P326,purchase
U650,P338,cart
U884,P26,wishlist
U581,P387,wishlist
U751,P2,purchase
U599,P520,view
U301,P49,wishlist
U736,P147,cart
U426,P513,view
U820,P236,wishlist
U768,P179,view
U747,P65,view
U366,P38,wishlist
U852,P409,wishlist
U474,P21,purchase
U101,P156,view
U863,P137,view
U135,P21,wishlist
U578,P365,view
U460,P520,wishlist
U150,P423,purchase
U565,P380,view
U633,P410,wishlist
U314,P118,view
U737,P123,cart
U633,P293,cart
U626,P226,view
U292,P170,wishlist
U676,P299,wishlist
U418,P380,wishlist
U733,P166,wishlist
U74,P288,wishlist
U180,P115,wishlist
U132,P250,view
U448,P460,purchase
U397,P362,cart
U682,P50,cart
U700,P263,wishlist
U190,P489,purchase
U42,P200,purchase
U59,P68,purchase
U184,P256,purchase
U670,P38,purchase
U558,P288,cart
U882,P206,wishlist
U203,P39,view
U332,P139,wishlist
U362,P170,view
U590,P230,purchase
U843,P461,wishlist
U443,P231,cart
U792,P217,purchase
U107,P439,view
U812,P479,cart
U156,P232,wishlist
U662,P71,cart
U210,P72,cart
U877,P44,cart
U779,P205,purchase
U508,P267,cart
U173,P196,view
U58,P87,purchase
U722,P411,wishlist
U763,P401,purchase
U829,P316,view
U346,P21,purchase
U736,P46,wishlist
U665,P195,view
U243,P78,view
U322,P26,cart
U99,P97,purchase
U690,P219,wishlist
U605,P339,cart
U174,P87,wishlist
U676,P444,purchase
U864,P267,cart
U267,P224,wishlist
U274,P283,wishlist
U135,P319,purchase
U91,P357,wishlist
U154,P505,purchase
U206,P277,wishlist
U682,P408,cart
U565,P327,cart
U219,P71,wishlist
U152,P130,cart
U224,P361,view
U655,P504,cart
U183,P427,purchase
U239,P195,purchase
U219,P409,wishlist
U757,P499,view
U76,P103,cart
U698,P49,view
U586,P8,view
U836,P341,view
U91,P113,wishlist
U820,P460,view
U397,P477,wishlist
U498,P330,wishlist
U809,P184,cart
U188,P18,cart
U606,P250,wishlist
U97,P32,purchase
U279,P182,view
U229,P203,wishlist
U461,P488,cart
U37,P73,cart
U200,P288,cart
U843,P134,wishlist
U679,P240,view
U509,P427,cart
U824,P186,cart
U194,P493,purchase
U246,P147,cart
U310,P412,wishlist
U671,P230,purchase
U40,P288,view
U419,P421,view
U298,P241,wishlist
U63,P401,purchase
U125,P115,cart
U362,P499,purchase
U571,P139,purchase
U219,P452,view
U396,P302,wishlist
U31,P177,wishlist
U615,P325,purchase
U476,P134,cart
U702,P68,purchase
U757,P195,wishlist
U691,P58,view
U495,P423,purchase
U542,P426,wishlist
U15,P204,view
U512,P290,cart
U332,P204,view
U558,P516,view
U236,P240,wishlist
U17,P235,wishlist
U106,P446,cart
U249,P284,purchase
U755,P277,cart
U716,P7,wishlist
U475,P156,wishlist
U181,P137,purchase
U223,P209,wishlist
U206,P418,view
U808,P489,purchase
U779,P427,wishlist
U572,P6,view
U728,P34,view
U666,P383,cart
U92,P360,cart
U247,P219,purchase
U682,P317,wishlist
U364,P435,purchase
U477,P292,wishlist
U311,P355,purchase
U194,P118,view
U203,P21,view
U566,P139,cart
U650,P344,wishlist
U884,P111,wishlist
U852,P411,purchase
U281,P2,wishlist
U152,P414,purchase
U670,P235,cart
U679,P87,view
U26,P28,purchase
U284,P361,view
U229,P146,cart
U516,P69,view
U374,P487,view
U679,P10,cart
U129,P72,cart
U653,P470,cart
U542,P395,cart
U258,P372,wishlist
U709,P75,wishlist
U321,P13,view
U165,P325,cart
U403,P51,wishlist
U855,P176,view
U99,P158,wishlist
U373,P435,wishlist
U815,P4,view
U96,P54,view
U310,P276,cart
U889,P408,view
U582,P18,cart
U759,P293,wishlist
U322,P62,view
U835,P185,purchase
U394,P4,purchase
U468,P319,wishlist
U802,P4,view
U405,P204,cart
U790,P149,wishlist
U584,P507,view
U144,P23,purchase
U255,P208,cart
U82,P21,wishlist
U690,P218,view
U96,P241,wishlist
U107,P340,wishlist
U609,P493,purchase
U528,P518,cart
U852,P117,wishlist
U595,P192,cart
U379,P362,cart
U425,P453,cart
U278,P489,cart
U606,P58,wishlist
U477,P320,purchase
U638,P90,view
U837,P468,cart
U12,P44,view
U230,P324,wishlist
U855,P132,view
U273,P286,cart
U642,P114,wishlist
U274,P6,purchase
U284,P118,wishlist
U526,P143,purchase
U792,P382,purchase
U64,P29,purchase
U810,P505,cart
U713,P147,view
U876,P166,cart
U402,P246,purchase
U74,P246,cart
U407,P362,cart
U839,P359,view
U876,P204,wishlist
U646,P244,cart
U825,P32,cart
U30,P158,purchase
U769,P53,view
U68,P430,purchase
U726,P384,wishlist
U140,P470,view
U473,P139,view
U304,P316,wishlist
U359,P34,view
U720,P439,purchase
U691,P1,wishlist
U267,P344,view
U334,P64,wishlist
U277,P489,wishlist
U91,P404,cart
U606,P517,view
U400,P474,view
U557,P320,view
U505,P167,wishlist
U755,P247,wishlist
U627,P409,purchase
U843,P460,purchase
U750,P118,purchase
U117,P358,view
U492,P319,wishlist
U729,P21,purchase
U157,P185,cart
U191,P421,cart
U106,P48,view
U200,P449,purchase
U439,P139,purchase
U277,P385,wishlist
U735,P509,cart
U542,P78,wishlist
U83,P116,view
U566,P445,wishlist
U300,P321,view
U700,P118,view
U696,P247,wishlist
U516,P476,cart
U890,P507,cart
U700,P427,cart
U342,P444,wishlist
U401,P290,purchase
U283,P478,cart
U285,P468,view
U332,P446,cart
U528,P72,purchase
U740,P430,purchase
U818,P276,view
U755,P184,wishlist
U328,P488,cart
U580,P224,view
U277,P287,purchase
U342,P71,purchase
U199,P240,view
U726,P137,wishlist
U553,P93,cart
U176,P196,cart
U412,P140,view
U429,P293,view
U313,P336,view
U91,P48,wishlist
U168,P140,view
U179,P72,view
U269,P421,wishlist
U335,P154,purchase
U283,P411,view
U553,P130,view
U582,P285,purchase
U24,P143,wishlist
U27,P487,wishlist
U863,P184,wishlist
U362,P499,cart
U771,P52,wishlist
U105,P7,purchase
U188,P254,view
U541,P105,wishlist
U679,P295,wishlist
U654,P251,cart
U720,P358,cart
U542,P236,cart
U820,P34,wishlist
U560,P221,cart
U351,P52,view
U362,P283,view
U413,P318,purchase
U362,P58,view
U699,P322,wishlist
U599,P410,cart
U260,P410,purchase
U255,P360,wishlist
U255,P80,view
U776,P234,purchase
U646,P113,purchase
U697,P204,view
U126,P398,cart
U713,P504,purchase
U426,P168,view
U674,P430,view
U342,P221,cart
U16,P416,cart
U419,P53,view
U542,P137,purchase
U697,P330,purchase
U839,P236,purchase
U610,P64,view
U322,P71,purchase
U419,P19,view
U771,P445,wishlist
U311,P289,view
U679,P58,view
U613,P484,view
U390,P486,cart
U613,P151,cart
U140,P285,wishlist
U406,P426,view
U727,P6,wishlist
U336,P100,purchase
U64,P126,view
U653,P476,view
U109,P361,wishlist
U192,P149,view
U59,P298,cart
U737,P65,purchase
U662,P195,view
U864,P115,purchase
U461,P17,view
U444,P26,cart
U584,P396,purchase
U665,P414,cart
U471,P430,wishlist
U843,P293,wishlist
U301,P162,wishlist
U812,P163,view
U597,P190,view
U174,P34,wishlist
U708,P162,wishlist
U67,P447,purchase
U692,P29,wishlist
U310,P53,cart
U776,P4,cart
U157,P190,view
U655,P3,wishlist
U674,P124,view
U413,P257,purchase
U426,P449,cart
U298,P516,view
U394,P267,cart
U448,P493,wishlist
U654,P357,wishlist
U334,P505,wishlist
U757,P339,view
U192,P408,purchase
U775,P73,wishlist
U362,P310,view
U74,P65,purchase
U666,P26,wishlist
U583,P517,wishlist
U334,P146,view
U571,P140,wishlist
U195,P357,purchase
U285,P134,cart
U876,P77,wishlist
U751,P414,purchase
U557,P460,purchase
U15,P190,purchase
U722,P166,cart
U882,P287,wishlist
U626,P292,cart
U547,P513,view
U219,P52,wishlist
U626,P100,wishlist
U805,P499,wishlist
U237,P231,wishlist
U757,P64,wishlist
U465,P54,purchase
U608,P159,purchase
U790,P510,view
U460,P303,cart
U351,P150,purchase
U681,P209,cart
U526,P294,wishlist
U529,P427,view
U95,P430,wishlist
U672,P27,wishlist
U835,P376,wishlist
U541,P141,cart
U747,P310,view
U853,P250,purchase
U812,P34,wishlist
U825,P427,wishlist
U27,P427,cart
U492,P401,view
U212,P455,view
U700,P45,cart
U878,P516,wishlist
U157,P308,wishlist
U800,P224,cart
U329,P125,wishlist
U769,P65,cart
U633,P36,wishlist
U783,P102,cart
U802,P287,wishlist
U827,P200,view
U497,P185,cart
U497,P504,wishlist
U449,P288,cart
U594,P163,wishlist
U605,P2,purchase
U494,P50,purchase
U341,P3,wishlist
U583,P166,view
U783,P147,view
U176,P337,purchase
U806,P311,cart
U90,P34,purchase
U565,P449,wishlist
U771,P410,wishlist
U498,P331,wishlist
U273,P499,wishlist
U553,P283,cart
U418,P4,wishlist
U458,P53,cart
U283,P321,wishlist
U175,P294,wishlist
U799,P244,wishlist
U468,P27,cart
U492,P434,wishlist
U193,P153,view
U365,P140,view
U310,P21,purchase
U186,P113,purchase
U182,P32,wishlist
U190,P48,purchase
U269,P411,view
U205,P205,purchase
U152,P21,view
U453,P384,purchase
U116,P346,wishlist
U473,P358,wishlist
U689,P337,wishlist
U868,P224,purchase
U539,P209,purchase
U679,P358,cart
U321,P2,purchase
U810,P493,cart
U184,P520,purchase
U560,P136,view
U234,P231,purchase
U702,P231,cart
U467,P21,view
U426,P97,purchase
U143,P267,wishlist
U613,P496,cart
U839,P254,view
U813,P358,wishlist
U615,P442,wishlist
U516,P114,wishlist
U97,P58,wishlist
U515,P200,wishlist
U132,P26,wishlist
U84,P87,wishlist
U443,P488,wishlist
U421,P52,view
U520,P445,view
U307,P247,purchase
U234,P339,view
U116,P324,wishlist
U600,P284,purchase
U755,P401,view
U476,P163,view
U98,P44,view
U185,P460,view
U256,P53,wishlist
U520,P192,cart
U34,P241,purchase
U630,P405,purchase
U653,P499,cart
U87,P235,cart
U316,P32,wishlist
U191,P205,view
U655,P449,view
U578,P517,view
U106,P192,purchase
U337,P507,purchase
U712,P107,view
U413,P499,wishlist
U790,P26,cart
U759,P70,view
U538,P288,purchase
U135,P277,purchase
U725,P13,view
U31,P436,view
U10,P306,purchase
U776,P497,wishlist
U115,P331,purchase
U116,P180,purchase
U779,P476,purchase
U191,P249,view
U300,P257,view
U223,P404,purchase
U193,P505,wishlist
U882,P240,view
U584,P217,purchase
U839,P204,cart
U52,P435,wishlist
U598,P487,cart
U281,P46,cart
U737,P486,wishlist
U810,P477,wishlist
U786,P158,view
U843,P409,view
U825,P341,cart
U606,P480,wishlist
U474,P21,purchase
U398,P130,view
U673,P179,view
U815,P66,wishlist
U332,P385,cart
U132,P303,view
U171,P117,wishlist
U132,P254,purchase
U99,P195,wishlist
U474,P293,wishlist
U419,P223,purchase
U747,P222,cart
U194,P75,cart
U626,P361,view
U882,P318,wishlist
U190,P401,purchase
U108,P452,wishlist
U106,P330,wishlist
U601,P10,view
U739,P382,cart
U523,P201,view
U541,P516,cart
U739,P13,wishlist
U19,P92,wishlist
U229,P147,wishlist
U383,P50,wishlist
U738,P167,wishlist
U219,P511,view
U401,P247,wishlist
U10,P192,wishlist
U813,P208,wishlist
U386,P488,view
U150,P48,wishlist
U336,P325,cart
U736,P15,purchase
U548,P137,wishlist
U401,P209,wishlist
U696,P267,purchase
U416,P48,view
U94,P339,purchase
U379,P236,cart
U722,P68,cart
U312,P26,wishlist
U249,P94,purchase
U397,P407,purchase
U38,P6,wishlist
U426,P366,cart
U583,P21,wishlist
U202,P168,wishlist
U104,P468,wishlist
U236,P162,wishlist
U828,P427,cart
U186,P57,purchase
U584,P439,cart
U656,P246,wishlist
U349,P338,wishlist
U755,P386,view
U362,P94,purchase
U815,P13,view
U439,P170,cart
U26,P204,cart
U538,P447,cart
U168,P40,view
U620,P130,purchase
U274,P336,view
U740,P381,view
U830,P453,purchase
U101,P398,wishlist
U300,P75,wishlist
U584,P218,purchase
U528,P409,view
U222,P319,wishlist
U536,P180,cart
U804,P72,view
U430,P192,purchase
U781,P439,wishlist
U786,P241,view
U209,P244,wishlist
U834,P481,view
U691,P196,wishlist
U588,P23,view
U215,P407,view
U485,P497,wishlist
U54,P516,view
U703,P205,view
U784,P256,view
U805,P240,view
U636,P113,wishlist
U746,P236,view
U390,P290,purchase
U457,P520,view
U71,P183,purchase
U874,P251,cart
U700,P478,view
U282,P372,wishlist
U669,P293,cart
U362,P510,wishlist
U446,P44,view
U584,P430,cart
U868,P302,cart
U744,P406,view
U528,P476,wishlist
U750,P105,view
U613,P220,cart
U696,P113,cart
U379,P78,purchase
U813,P68,wishlist
U736,P408,wishlist
U449,P36,cart
U126,P346,purchase
U700,P478,view
U82,P78,view
U611,P138,view
U199,P146,cart
U884,P156,wishlist
U76,P66,purchase
U23,P8,wishlist
U116,P358,cart
U285,P401,wishlist
U829,P502,purchase
U547,P179,purchase
U429,P315,view
U191,P418,view
U224,P520,purchase
U534,P73,purchase
U744,P410,cart
U871,P167,purchase
U781,P403,purchase
U80,P414,cart
U152,P134,view
U191,P433,view
U44,P408,wishlist
U560,P87,view
U188,P146,purchase
U673,P205,wishlist
U239,P278,cart
U379,P40,view
U810,P230,view
U191,P413,purchase
U504,P75,view
U619,P168,wishlist
U682,P178,cart
U94,P402,purchase
U802,P288,purchase
U682,P321,view
U92,P92,cart
U638,P262,wishlist
U747,P68,purchase
U746,P187,wishlist
U497,P250,wishlist
U340,P178,cart
U413,P21,cart
U285,P265,purchase
U674,P411,wishlist
U440,P159,view
U204,P520,wishlist
U187,P439,purchase
U734,P470,wishlist
U515,P320,purchase
U234,P233,purchase
U780,P57,wishlist
U871,P65,cart
U210,P341,view
U878,P159,view
U150,P433,cart
U268,P513,wishlist
U698,P48,purchase
U376,P15,cart
U454,P29,cart
U663,P503,wishlist
U523,P240,view
U16,P220,wishlist
U529,P351,wishlist
U560,P418,cart
U700,P452,wishlist
U251,P3,wishlist
U545,P186,purchase
U824,P172,view
U95,P319,cart
U279,P485,wishlist
U704,P344,purchase
U285,P310,view
U401,P182,wishlist
U191,P330,view
U113,P123,wishlist
U330,P163,wishlist
U772,P95,purchase
U292,P295,purchase
U126,P294,cart
U219,P7,wishlist
U707,P196,wishlist
U123,P409,purchase
U267,P480,purchase
U117,P75,wishlist
U751,P185,purchase
U60,P478,purchase
U385,P98,wishlist
U152,P359,cart
U341,P257,cart
U133,P439,view
U169,P64,view
U567,P7,wishlist
U534,P105,wishlist
U468,P288,view
U440,P192,wishlist
U298,P244,cart
U314,P295,purchase
U239,P65,view
U687,P247,purchase
U835,P44,view
U865,P241,wishlist
U188,P407,wishlist
U734,P184,view
U30,P299,purchase
U496,P77,view
U27,P230,view
U23,P68,view
U109,P516,purchase
U117,P449,view
U755,P311,cart
U855,P408,wishlist
U841,P279,view
U210,P518,purchase
U802,P411,wishlist
U71,P40,purchase
U485,P221,view
U343,P391,wishlist
U97,P114,wishlist
U284,P168,purchase
U747,P251,view
U170,P65,cart
U738,P53,view
U877,P396,purchase
U389,P212,cart
U304,P137,wishlist
U28,P48,wishlist
U784,P72,view
U637,P92,wishlist
U799,P117,wishlist
U171,P299,wishlist
U673,P341,purchase
U674,P293,wishlist
U702,P359,view
U884,P159,view
U274,P68,wishlist
U549,P13,view
U662,P361,cart
U359,P177,purchase
U708,P25,wishlist
U434,P224,cart
U610,P14,wishlist
U101,P511,view
U807,P289,view
U697,P359,purchase
U553,P410,view
U137,P130,purchase
U440,P100,purchase
U27,P163,cart
U185,P455,view
U449,P36,wishlist
U304,P87,view
U99,P107,purchase
U665,P134,cart
U157,P230,wishlist
U318,P127,view
U180,P2,view
U887,P412,purchase
U467,P366,view
U74,P180,cart
U884,P483,view
U653,P455,purchase
U424,P25,wishlist
U893,P277,cart
U240,P18,view
U512,P105,purchase
U674,P256,purchase
U808,P341,view
U437,P27,view
U276,P321,wishlist
U190,P446,purchase
U58,P220,cart
U74,P310,view
U405,P442,wishlist
U413,P321,wishlist
U662,P439,view
U82,P204,purchase
U729,P487,view
U692,P127,cart
U806,P376,wishlist
U703,P502,view
U539,P153,purchase
U329,P196,cart
U837,P356,view
U283,P196,wishlist
U687,P29,view
U63,P319,wishlist
U727,P287,cart
U405,P485,wishlist
U127,P508,view
U97,P93,cart
U117,P505,purchase
U127,P285,view
U351,P53,cart
U69,P19,purchase
U852,P401,view
U123,P509,view
U165,P217,cart
U876,P306,view
U795,P374,cart
U158,P344,wishlist
U583,P195,wishlist
U609,P251,cart
U250,P192,view
U449,P233,purchase
U802,P358,view
U62,P107,view
U353,P8,view
U477,P322,wishlist
U607,P29,wishlist
U200,P369,view
U71,P502,view
U391,P295,view
U453,P387,view
U766,P446,purchase
U334,P460,view
U74,P498,wishlist
U236,P109,wishlist
U76,P36,wishlist
U390,P358,purchase
U351,P240,wishlist
U310,P73,purchase
U95,P112,view
U342,P401,view
U869,P402,wishlist
U165,P220,purchase
U135,P506,purchase
U125,P3,cart
U335,P428,wishlist
U584,P139,view
U229,P49,wishlist
U268,P196,cart
U108,P84,wishlist
U884,P411,purchase
U740,P204,cart
U157,P183,wishlist
U876,P418,view
U10,P191,view
U75,P435,view
U126,P172,cart
U619,P39,view
U673,P182,cart
U413,P38,cart
U520,P236,purchase
U170,P116,wishlist
U771,P75,cart
U280,P427,purchase
U781,P414,view
U775,P166,wishlist
U270,P427,wishlist
U829,P371,view
U521,P480,view
U428,P194,view
U841,P21,purchase
U419,P376,purchase
U178,P293,purchase
U871,P506,purchase
U829,P226,wishlist
U539,P310,view
U703,P267,view
U494,P211,purchase
U528,P194,wishlist
U178,P338,wishlist
U429,P9,cart
U783,P322,purchase
U42,P265,cart
U129,P433,view
U21,P22,wishlist
U44,P44,purchase
U650,P246,purchase
U465,P80,wishlist
U193,P430,purchase
U366,P509,purchase
U692,P45,wishlist
U335,P51,purchase
U104,P439,view
U379,P423,cart
U38,P204,view
U772,P81,view
U727,P240,view
U772,P463,cart
U400,P87,wishlist
U769,P204,view
U591,P308,purchase
U855,P262,view
U170,P372,wishlist
U638,P46,wishlist
U828,P40,purchase
U751,P15,view
U599,P452,purchase
U508,P207,purchase
U426,P235,cart
U341,P495,view
U334,P321,wishlist
U413,P295,wishlist
U245,P21,wishlist
U615,P475,view
U351,P430,wishlist
U746,P517,purchase
U289,P123,view
U637,P292,cart
U428,P97,purchase
U740,P477,wishlist
U687,P448,cart
U91,P6,purchase
U550,P504,view
U586,P384,cart
U882,P290,wishlist
U135,P187,wishlist
U673,P100,purchase
U319,P209,view
U223,P10,wishlist
U137,P434,wishlist
U129,P377,purchase
U669,P427,purchase
U10,P48,view
U251,P435,view
U771,P418,purchase
U759,P105,wishlist
U107,P179,wishlist
U707,P422,cart
U857,P93,cart
U605,P380,view
U158,P239,cart
U362,P357,view
U379,P32,wishlist
U548,P418,view
U337,P411,purchase
U716,P489,view
U383,P294,purchase
U178,P111,purchase
U605,P418,wishlist
U285,P162,view
U99,P508,cart
U620,P430,purchase
U720,P497,cart
U799,P460,view
U611,P516,cart
U853,P114,purchase
U23,P230,wishlist
U744,P149,purchase
U278,P398,wishlist
U403,P186,cart
U804,P335,purchase
U729,P344,view
U828,P241,view
U250,P461,wishlist
U687,P261,wishlist
U27,P489,wishlist
U599,P162,view
U210,P235,wishlist
U119,P147,wishlist
U282,P71,wishlist
U669,P442,purchase
U613,P517,wishlist
U715,P493,wishlist
U169,P277,view
U881,P436,view
U738,P38,view
U671,P493,purchase
U394,P197,purchase
U31,P163,purchase
U485,P477,view
U781,P126,view
U820,P45,view
U699,P93,view
U567,P520,wishlist
U528,P95,wishlist
U357,P263,purchase
U270,P86,purchase
U21,P2,wishlist
U423,P6,view
U264,P485,cart
U496,P140,purchase
U104,P185,cart
U586,P365,cart
U883,P483,view
U495,P80,view
U362,P184,view
U863,P288,cart
U283,P303,purchase
U574,P488,wishlist
U74,P7,purchase
U749,P201,purchase
U360,P232,wishlist
U283,P445,wishlist
U608,P285,cart
U657,P341,purchase
U140,P479,purchase
U720,P365,view
U457,P276,purchase
U242,P374,cart
U359,P73,wishlist
U584,P95,view
U273,P102,cart
U249,P184,view
U225,P357,cart
U10,P449,view
U738,P138,cart
U340,P66,view
U638,P9,wishlist
U268,P191,view
U366,P382,cart
U115,P129,view
U436,P295,purchase
U246,P295,wishlist
U436,P256,purchase
U166,P477,purchase
U434,P180,cart
U776,P293,purchase
U504,P6,view
U699,P196,wishlist
U310,P351,wishlist
U21,P203,wishlist
U837,P353,view
U270,P395,view
U365,P460,cart
U246,P147,wishlist
U50,P497,view
U610,P218,cart
U608,P150,purchase
U285,P400,view
U152,P427,view
U781,P474,wishlist
U228,P87,purchase
U219,P285,view
U881,P249,wishlist
U769,P179,cart
U68,P185,purchase
U827,P453,wishlist
U697,P159,purchase
U716,P357,wishlist
U549,P185,cart
U358,P115,cart
U169,P115,view
U106,P100,cart
U199,P308,wishlist
U794,P517,wishlist
U782,P8,wishlist
U662,P18,view
U136,P49,view
U757,P342,purchase
U634,P371,wishlist
U332,P185,view
U553,P92,wishlist
U149,P226,cart
U112,P209,cart
U646,P159,view
U759,P445,wishlist
U424,P450,purchase
U135,P383,wishlist
U419,P241,view
U570,P115,view
U191,P335,view
U278,P257,view
U662,P44,view
U340,P358,view
U702,P292,wishlist
U746,P149,purchase
U9,P68,view
U325,P1,wishlist
U215,P168,cart
U827,P194,wishlist
U85,P452,cart
U38,P4,wishlist
U729,P18,purchase
U794,P78,cart
U557,P100,wishlist
U584,P372,wishlist
U347,P292,view
U794,P479,view
U11,P372,view
U766,P287,purchase
U44,P409,view
U843,P137,view
U299,P401,cart
U807,P166,view
U586,P230,view
U54,P205,purchase
U545,P309,purchase
U443,P461,view
U538,P392,wishlist
U871,P237,wishlist
U626,P200,purchase
U888,P254,cart
U71,P487,cart
U619,P276,purchase
U707,P36,wishlist
U310,P7,purchase
U336,P204,wishlist
U757,P21,cart
U436,P221,cart
U284,P511,wishlist
U681,P1,wishlist
U281,P23,view
U58,P157,cart
U557,P308,wishlist
U264,P234,purchase
U703,P4,purchase
U676,P231,wishlist
U737,P442,wishlist
U42,P244,cart
U126,P510,wishlist
U170,P441,view
U46,P204,view
U187,P129,cart
U571,P414,cart
U613,P395,wishlist
U104,P402,wishlist
U544,P22,purchase
U674,P140,view
U201,P13,view
U201,P109,wishlist
U800,P209,cart
U283,P285,purchase
U119,P377,wishlist
U318,P409,view
U570,P64,purchase
U133,P246,view
U402,P319,wishlist
U185,P200,purchase
U170,P34,view
U753,P318,wishlist
U11,P478,view
U82,P446,view
U687,P423,wishlist
U819,P32,cart
U170,P335,purchase
U613,P150,purchase
U150,P355,view
U62,P359,wishlist
U152,P263,cart
U672,P294,cart
U802,P335,purchase
U205,P295,wishlist
U372,P24,view
U327,P380,purchase
U839,P4,wishlist
U292,P254,view
U609,P311,view
U548,P195,cart
U700,P318,purchase
U550,P495,cart
U878,P111,purchase
U64,P98,wishlist
U6,P436,cart
U264,P469,purchase
U133,P455,view
U337,P19,view
U703,P180,purchase
U362,P470,view
U799,P208,purchase
U545,P194,wishlist
U834,P359,cart
U45,P116,view
U476,P92,wishlist
U644,P75,wishlist
U90,P422,wishlist
U501,P71,view
U607,P293,wishlist
U565,P6,view
U874,P520,wishlist
U691,P151,wishlist
U457,P132,view
U465,P87,cart
U83,P449,view
U673,P111,view
U539,P46,purchase
U610,P359,cart
U529,P53,purchase
U347,P377,purchase
U417,P156,cart
U223,P241,view
U413,P247,purchase
U75,P166,wishlist
U443,P358,cart
U584,P132,purchase
